Exp1:
Number of clients: from 1 to 11
Number of entries: 10
Number of updates per transaction: 4
Time: 10s

1: Transactions TOTAL:331047, OK:331047, -> 100.0 % 

1: Transactions TOTAL:234544, OK:120161, -> 51.231751824817515 % 
2: Transactions TOTAL:234295, OK:114939, -> 49.057384920719606 % 

1: Transactions TOTAL:178969, OK:63093, -> 35.25359140409792 % 
2: Transactions TOTAL:178692, OK:62855, -> 35.17504980637074 % 
3: Transactions TOTAL:178658, OK:63410, -> 35.4923932877341 % 

1: Transactions TOTAL:86692, OK:23688, -> 27.32432058321414 % 
2: Transactions TOTAL:86662, OK:23077, -> 26.628741547621797 % 
3: Transactions TOTAL:86582, OK:23070, -> 26.645261139728813 % 
4: Transactions TOTAL:86608, OK:23208, -> 26.796600775909848 % 

1: Transactions TOTAL:117123, OK:25947, -> 22.153633359801233 % 
2: Transactions TOTAL:117191, OK:26077, -> 22.251708748965363 % 
3: Transactions TOTAL:117106, OK:26139, -> 22.320803374720338 % 
4: Transactions TOTAL:117331, OK:26182, -> 22.31464830266511 % 
5: Transactions TOTAL:116814, OK:26355, -> 22.56150803842005 % 

1: Transactions TOTAL:100329, OK:19019, -> 18.956632678487775 % 
2: Transactions TOTAL:100360, OK:19185, -> 19.116181745715423 % 
3: Transactions TOTAL:100654, OK:19317, -> 19.191487670634054 % 
4: Transactions TOTAL:100599, OK:19389, -> 19.273551426952555 % 
5: Transactions TOTAL:100222, OK:18835, -> 18.79327892079583 % 
6: Transactions TOTAL:100206, OK:19283, -> 19.2433586811169 % 

1: Transactions TOTAL:82876, OK:13892, -> 16.76239200733626 % 
2: Transactions TOTAL:83401, OK:14316, -> 17.16526180741238 % 
3: Transactions TOTAL:83378, OK:13965, -> 16.749022523927174 % 
4: Transactions TOTAL:83279, OK:14064, -> 16.887810852675944 % 
5: Transactions TOTAL:83341, OK:14034, -> 16.83925078892742 % 
6: Transactions TOTAL:83105, OK:14128, -> 17.00018049455508 % 
7: Transactions TOTAL:83246, OK:13908, -> 16.7071090502847 % 

1: Transactions TOTAL:82959, OK:12550, -> 15.127954772839596 % 
2: Transactions TOTAL:83069, OK:12576, -> 15.139221610949933 % 
3: Transactions TOTAL:83021, OK:12301, -> 14.81673311571771 % 
4: Transactions TOTAL:82907, OK:12638, -> 15.243586186932346 % 
5: Transactions TOTAL:82973, OK:12443, -> 14.996444626565268 % 
6: Transactions TOTAL:83011, OK:12271, -> 14.782378239028562 % 
7: Transactions TOTAL:82991, OK:12314, -> 14.837753491342434 % 
8: Transactions TOTAL:83011, OK:12424, -> 14.966691161412342 % 

1: Transactions TOTAL:76981, OK:10439, -> 13.56048895181928 % 
2: Transactions TOTAL:76892, OK:10425, -> 13.557977422878842 % 
3: Transactions TOTAL:76838, OK:10457, -> 13.609151721804315 % 
4: Transactions TOTAL:76823, OK:10415, -> 13.557137836325058 % 
5: Transactions TOTAL:76922, OK:10267, -> 13.347286862016068 % 
6: Transactions TOTAL:76935, OK:10513, -> 13.664781958796386 % 
7: Transactions TOTAL:76869, OK:10319, -> 13.424137168429406 % 
8: Transactions TOTAL:76911, OK:10527, -> 13.687248898076998 % 
9: Transactions TOTAL:76934, OK:10440, -> 13.570073049626952 % 

1: Transactions TOTAL:71055, OK:8786, -> 12.365069312504398 % 
2: Transactions TOTAL:71112, OK:8713, -> 12.25250309371133 % 
3: Transactions TOTAL:71024, OK:8637, -> 12.160678080648795 % 
4: Transactions TOTAL:71116, OK:8679, -> 12.204004724675178 % 
5: Transactions TOTAL:70952, OK:8859, -> 12.485905964595784 % 
6: Transactions TOTAL:71083, OK:8820, -> 12.408030049378896 % 
7: Transactions TOTAL:71162, OK:8923, -> 12.538995531322897 % 
8: Transactions TOTAL:71109, OK:8655, -> 12.171455090072987 % 
9: Transactions TOTAL:71078, OK:8898, -> 12.51864149244492 % 
10: Transactions TOTAL:71058, OK:8676, -> 12.20974415266402 % 

1: Transactions TOTAL:65538, OK:7286, -> 11.11721444047728 % 
2: Transactions TOTAL:65581, OK:7337, -> 11.18769155700584 % 
3: Transactions TOTAL:65530, OK:7416, -> 11.316954066839616 % 
4: Transactions TOTAL:65428, OK:7453, -> 11.391147520939047 % 
5: Transactions TOTAL:65495, OK:7446, -> 11.368806779143446 % 
6: Transactions TOTAL:65509, OK:7280, -> 11.11297684287655 % 
7: Transactions TOTAL:65501, OK:7360, -> 11.236469672218744 % 
8: Transactions TOTAL:65587, OK:7390, -> 11.267476786558312 % 
9: Transactions TOTAL:65582, OK:7351, -> 11.208868287029977 % 
10: Transactions TOTAL:65565, OK:7419, -> 11.31548844657973 % 
11: Transactions TOTAL:65559, OK:7329, -> 11.179243124513796 % 




Exp2:
Number of clients: 4
Number of entries: from 1 to 11
Number of updates per transaction: 4
Time: 10s

1: Transactions TOTAL:194263, OK:56190, -> 28.924705167736523 % 
2: Transactions TOTAL:193857, OK:55870, -> 28.820212837297596 % 
3: Transactions TOTAL:194452, OK:56345, -> 28.976302635097607 % 
4: Transactions TOTAL:194342, OK:55932, -> 28.78019162095687 % 

1: Transactions TOTAL:169870, OK:47179, -> 27.773591570024138 % 
2: Transactions TOTAL:169923, OK:46701, -> 27.483624936000425 % 
3: Transactions TOTAL:169755, OK:46482, -> 27.381814968631264 % 
4: Transactions TOTAL:170003, OK:47293, -> 27.818920842573366 % 

1: Transactions TOTAL:155612, OK:42221, -> 27.132226306454516 % 
